Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,2.300000,2.490000,2.280000,2.460000,1.732136,42052300
2009-01-05,2.420000,2.640000,2.310000,2.580000,1.816630,73031000
2009-01-06,2.640000,2.850000,2.630000,2.760000,1.943372,58945900
2009-01-07,2.720000,2.820000,2.620000,2.690000,1.894083,43931200
2009-01-08,2.620000,2.700000,2.500000,2.690000,1.894083,51174500
2009-01-09,2.630000,2.730000,2.590000,2.630000,1.851836,39831800
2009-01-12,2.690000,2.690000,2.520000,2.640000,1.858877,47682700
2009-01-13,2.600000,2.640000,2.420000,2.480000,1.746218,40477200
2009-01-14,2.410000,2.430000,2.190000,2.260000,1.591312,56635600
2009-01-15,2.270000,2.350000,2.050000,2.230000,1.570188,69594900
2009-01-16,2.340000,2.360000,2.060000,2.190000,1.542023,60086400
2009-01-20,2.220000,2.250000,2.050000,2.130000,1.499776,51647400
2009-01-21,2.180000,2.190000,2.000000,2.090000,1.471611,75295100
2009-01-22,2.040000,2.070000,1.900000,1.940000,1.365993,52683400
2009-01-23,1.900000,1.930000,1.800000,1.800000,1.267416,71025700
2009-01-26,1.990000,2.060000,1.870000,1.940000,1.365993,50898200
2009-01-27,2.020000,2.040000,1.940000,1.970000,1.387117,31112400
2009-01-28,2.040000,2.060000,1.980000,2.030000,1.429364,34869200
2009-01-29,2.030000,2.030000,1.950000,1.950000,1.373034,30930500
2009-01-30,1.990000,1.990000,1.850000,1.870000,1.316705,35463000
2009-02-02,1.860000,1.930000,1.810000,1.880000,1.323746,32294600
2009-02-03,1.920000,1.970000,1.810000,1.960000,1.380076,34099500
2009-02-04,1.980000,2.020000,1.920000,1.950000,1.373034,24203700
2009-02-05,1.940000,1.970000,1.860000,1.930000,1.358952,17335100
2009-02-06,1.940000,1.990000,1.900000,1.940000,1.365993,21389600
2009-02-09,1.960000,1.960000,1.840000,1.900000,1.337829,27266900
2009-02-10,1.910000,1.920000,1.820000,1.820000,1.281499,28273800
2009-02-11,1.850000,1.880000,1.800000,1.850000,1.302623,30214000
2009-02-12,1.830000,1.850000,1.750000,1.790000,1.260375,23422600
2009-02-13,1.820000,1.830000,1.720000,1.760000,1.239252,23009400
2009-02-17,1.700000,1.750000,1.610000,1.690000,1.189963,32860300
2009-02-18,1.780000,1.790000,1.630000,1.670000,1.175881,25051400
2009-02-19,1.690000,1.700000,1.610000,1.630000,1.147716,19034200
2009-02-20,1.600000,1.610000,1.500000,1.580000,1.112510,37900600
2009-02-23,1.650000,1.910000,1.610000,1.730000,1.218128,44460600
2009-02-24,1.800000,2.000000,1.800000,2.000000,1.408240,35167600
2009-02-25,2.100000,2.160000,2.000000,2.010000,1.415282,54368900
2009-02-26,2.080000,2.090000,1.810000,1.980000,1.394158,32307100
2009-02-27,1.930000,2.000000,1.800000,2.000000,1.408240,31512500
2009-03-02,1.910000,1.940000,1.830000,1.880000,1.323746,19605600
2009-03-03,1.910000,1.910000,1.800000,1.810000,1.274457,15442700
2009-03-04,1.900000,1.900000,1.830000,1.870000,1.316705,22404200
2009-03-05,1.750000,2.000000,1.730000,1.810000,1.274457,47498200
2009-03-06,1.830000,1.910000,1.650000,1.700000,1.197005,35136700
2009-03-09,1.780000,1.850000,1.700000,1.740000,1.225169,32278900
2009-03-10,1.850000,1.890000,1.810000,1.850000,1.302623,31181300
2009-03-11,1.910000,2.000000,1.870000,1.960000,1.380076,43503700
2009-03-12,1.980000,2.100000,1.980000,2.100000,1.478652,46652500
2009-03-13,2.190000,2.250000,2.120000,2.190000,1.542023,53675700
2009-03-16,2.280000,2.300000,2.090000,2.100000,1.478652,44196000
2009-03-17,2.170000,2.300000,2.110000,2.280000,1.605394,43181500
2009-03-18,2.280000,2.650000,2.280000,2.470000,1.739177,92775500
2009-03-19,2.770000,2.780000,2.280000,2.510000,1.767342,61243500
2009-03-20,2.700000,2.750000,2.520000,2.750000,1.936331,57202300
2009-03-23,2.880000,2.900000,2.800000,2.900000,2.041949,45286800
2009-03-24,2.830000,2.950000,2.760000,2.860000,2.013784,40512400
