Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,65.250000,66.800003,65.220001,66.370003,48.653435,677200
2009-01-05,65.680000,66.570000,65.279999,65.620003,48.103638,1004200
2009-01-06,65.860001,66.889999,65.449997,66.410004,48.682755,1228500
2009-01-07,67.150002,67.320000,66.000000,66.540001,48.778046,1048000
2009-01-08,67.980003,68.379997,67.230003,68.379997,50.126877,1008800
2009-01-09,67.309998,67.440002,65.830002,66.529999,48.770710,799200
2009-01-12,66.680000,66.680000,64.709999,65.620003,48.103638,918500
2009-01-13,63.990002,64.089996,63.080002,63.650002,46.659489,923100
2009-01-14,63.709999,63.709999,61.520000,62.139999,45.552574,1249300
2009-01-15,63.759998,64.489998,62.259998,63.919998,46.857422,1444200
2009-01-16,66.820000,67.290001,64.820000,66.570000,48.800045,1126800
2009-01-20,67.989998,68.540001,65.639999,65.879997,48.294231,1186500
2009-01-21,66.519997,67.650002,65.440002,67.519997,49.496452,1423800
2009-01-22,62.980000,63.070000,61.369999,62.560001,45.860451,1526200
2009-01-23,62.099998,62.939999,61.000000,62.580002,45.875122,1802300
2009-01-26,62.490002,63.279999,61.910000,62.590000,45.882450,1073300
2009-01-27,66.400002,66.639999,65.400002,66.300003,48.602116,1280500
2009-01-28,67.330002,68.339996,67.169998,67.739998,49.657719,882900
2009-01-29,67.599998,67.599998,64.940002,65.099998,47.722431,1240900
2009-01-30,65.050003,65.209999,62.939999,63.509998,46.556862,1010000
2009-02-02,62.950001,64.320000,62.750000,63.880001,46.828098,975800
2009-02-03,64.370003,65.839996,64.139999,65.589996,48.081631,860500
2009-02-04,67.209999,68.599998,66.669998,66.930000,49.063938,1212800
2009-02-05,67.269997,69.089996,66.510002,68.809998,50.442093,1460400
2009-02-06,65.860001,70.000000,65.570000,69.379997,50.859943,1535800
2009-02-09,69.949997,71.500000,69.940002,71.139999,52.150131,954000
2009-02-10,69.389999,69.709999,67.050003,67.239998,49.291180,876000
2009-02-11,68.230003,68.500000,66.849998,67.400002,49.408482,915000
2009-02-12,66.919998,67.459999,65.540001,67.459999,49.452465,1567000
